league,season,snapshot_date,club_name,external_club_id,native_club_id,team_type,status,source_url,source_sha256
ITA1,2026/27,2026-09-12,Juventus Turin,506,1769482,FIRST,CONFIRMED,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,0395f45310e6fd7abde7558dd76ba589fd764ddb5be1df9d44e97a1a3b4e151a
ITA1,2026/27,2026-09-12,Lazio Rom,398,1769487,FIRST,CONFIRMED,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,0395f45310e6fd7abde7558dd76ba589fd764ddb5be1df9d44e97a1a3b4e151a
ITA1,2026/27,2026-09-12,Parma Calcio 1913,130,1769475,FIRST,CONFIRMED,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,0395f45310e6fd7abde7558dd76ba589fd764ddb5be1df9d44e97a1a3b4e151a
ITA1,2026/27,2026-09-12,SSC Neapel,6195,1769517,FIRST,CONFIRMED,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,0395f45310e6fd7abde7558dd76ba589fd764ddb5be1df9d44e97a1a3b4e151a
ITA1,2026/27,2026-09-12,US Lecce,1005,1769483,FIRST,CONFIRMED,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,0395f45310e6fd7abde7558dd76ba589fd764ddb5be1df9d44e97a1a3b4e151a
ITA1,2026/27,2026-09-12,US Sassuolo,6574,1769542,FIRST,CONFIRMED,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,0395f45310e6fd7abde7558dd76ba589fd764ddb5be1df9d44e97a1a3b4e151a
ITA1,2026/27,2026-09-12,Udinese Calcio,410,1769488,FIRST,CONFIRMED,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,0395f45310e6fd7abde7558dd76ba589fd764ddb5be1df9d44e97a1a3b4e151a
ITA1,2026/27,2026-09-12,Venezia FC,607,1769500,FIRST,CONFIRMED,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,0395f45310e6fd7abde7558dd76ba589fd764ddb5be1df9d44e97a1a3b4e151a
ESP1,2026/27,2026-09-12,Athletic Bilbao,621,2949121,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
ESP1,2026/27,2026-09-12,Atlético Madrid,13,2949122,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
ESP1,2026/27,2026-09-12,CA Osasuna,331,2949132,FIRST,CONFIRMED,https://www.laliga.com/laliga-easports/clubes,7dc21d905da42305ef7100901e7bda02619b96c2e8826d91ed8b94979b7e7456
