competition_id,slot,club_id,team_type,status,source,source_sha256,snapshot_date
117506050,5,462983,FIRST,CONFIRMED,https://www.proleague.be/nieuws/geen-proflicentie-voor-rwdm-club-nxt-verzekert-behoud,e66a19343c55ad0f884886cec62931c54419129fb72b1d6c870fc610d2c0968e,2026-09-12
117506050,6,458761,RESERVE,CONFIRMED,https://www.proleague.be/nieuws/geen-proflicentie-voor-rwdm-club-nxt-verzekert-behoud,e66a19343c55ad0f884886cec62931c54419129fb72b1d6c870fc610d2c0968e,2026-09-12
117506050,7,458780,RESERVE,CONFIRMED,https://www.proleague.be/nieuws/geen-proflicentie-voor-rwdm-club-nxt-verzekert-behoud,e66a19343c55ad0f884886cec62931c54419129fb72b1d6c870fc610d2c0968e,2026-09-12
117506050,8,458792,FIRST,CONFIRMED,https://www.proleague.be/nieuws/geen-proflicentie-voor-rwdm-club-nxt-verzekert-behoud,e66a19343c55ad0f884886cec62931c54419129fb72b1d6c870fc610d2c0968e,2026-09-12
117506050,9,458760,RESERVE,CONFIRMED,https://www.proleague.be/nieuws/geen-proflicentie-voor-rwdm-club-nxt-verzekert-behoud,e66a19343c55ad0f884886cec62931c54419129fb72b1d6c870fc610d2c0968e,2026-09-12
117506050,10,471777,FIRST,CONFIRMED,https://www.proleague.be/nieuws/geen-proflicentie-voor-rwdm-club-nxt-verzekert-behoud,e66a19343c55ad0f884886cec62931c54419129fb72b1d6c870fc610d2c0968e,2026-09-12
117506050,11,471214,FIRST,CONFIRMED,https://www.proleague.be/nieuws/geen-proflicentie-voor-rwdm-club-nxt-verzekert-behoud,e66a19343c55ad0f884886cec62931c54419129fb72b1d6c870fc610d2c0968e,2026-09-12
117506050,12,471807,FIRST,CONFIRMED,https://www.proleague.be/nieuws/geen-proflicentie-voor-rwdm-club-nxt-verzekert-behoud,e66a19343c55ad0f884886cec62931c54419129fb72b1d6c870fc610d2c0968e,2026-09-12
117506051,1,462982,FIRST,CONFIRMED,https://kvktienen.be/2026/07/01/kalender-seizoen-2026-2027/,47107e5958cd63eaeb65ec7d3b91e869c2b134afb28923a81c5cb574bf4e648d,2026-09-12
117506051,2,462851,FIRST,CONFIRMED,https://kvktienen.be/2026/07/01/kalender-seizoen-2026-2027/,47107e5958cd63eaeb65ec7d3b91e869c2b134afb28923a81c5cb574bf4e648d,2026-09-12
117506051,3,458790,FIRST,CONFIRMED,https://kvktienen.be/2026/07/01/kalender-seizoen-2026-2027/,47107e5958cd63eaeb65ec7d3b91e869c2b134afb28923a81c5cb574bf4e648d,2026-09-12
117506051,4,458771,FIRST,CONFIRMED,https://kvktienen.be/2026/07/01/kalender-seizoen-2026-2027/,47107e5958cd63eaeb65ec7d3b91e869c2b134afb28923a81c5cb574bf4e648d,2026-09-12
117506051,5,471472,FIRST,CONFIRMED,https://kvktienen.be/2026/07/01/kalender-seizoen-2026-2027/,47107e5958cd63eaeb65ec7d3b91e869c2b134afb28923a81c5cb574bf4e648d,2026-09-12
117506051,6,458794,FIRST,CONFIRMED,https://kvktienen.be/2026/07/01/kalender-seizoen-2026-2027/,47107e5958cd63eaeb65ec7d3b91e869c2b134afb28923a81c5cb574bf4e648d,2026-09-12
117506051,7,471082,FIRST,CONFIRMED,https://kvktienen.be/2026/07/01/kalender-seizoen-2026-2027/,47107e5958cd63eaeb65ec7d3b91e869c2b134afb28923a81c5cb574bf4e648d,2026-09-12
117506051,8,458755,RESERVE,CONFIRMED,https://kvktienen.be/2026/07/01/kalender-seizoen-2026-2027/,47107e5958cd63eaeb65ec7d3b91e869c2b134afb28923a81c5cb574bf4e648d,2026-09-12
117506051,9,471265,FIRST,CONFIRMED,https://kvktienen.be/2026/07/01/kalender-seizoen-2026-2027/,47107e5958cd63eaeb65ec7d3b91e869c2b134afb28923a81c5cb574bf4e648d,2026-09-12
117506051,10,462852,FIRST,CONFIRMED,https://kvktienen.be/2026/07/01/kalender-seizoen-2026-2027/,47107e5958cd63eaeb65ec7d3b91e869c2b134afb28923a81c5cb574bf4e648d,2026-09-12
117506051,11,458775,RESERVE,CONFIRMED,https://kvktienen.be/2026/07/01/kalender-seizoen-2026-2027/,47107e5958cd63eaeb65ec7d3b91e869c2b134afb28923a81c5cb574bf4e648d,2026-09-12
117506051,12,471177,FIRST,CONFIRMED,https://kvktienen.be/2026/07/01/kalender-seizoen-2026-2027/,47107e5958cd63eaeb65ec7d3b91e869c2b134afb28923a81c5cb574bf4e648d,2026-09-12
