league,club,club_tm_id,players,status,source
ESP1,FC Sevilla,368,26,CAPTURED,https://www.transfermarkt.de/fc-sevilla/kader/verein/368/saison_id/2026/plus/1
ESP1,Deportivo Alavés,1108,24,CAPTURED,https://www.transfermarkt.de/deportivo-alaves/kader/verein/1108/saison_id/2026/plus/1
ESP1,FC Elche,1531,28,CAPTURED,https://www.transfermarkt.de/fc-elche/kader/verein/1531/saison_id/2026/plus/1
ESP1,UD Levante,3368,25,CAPTURED,https://www.transfermarkt.de/ud-levante/kader/verein/3368/saison_id/2026/plus/1
ESP1,CA Osasuna,331,23,CAPTURED,https://www.transfermarkt.de/ca-osasuna/kader/verein/331/saison_id/2026/plus/1
ESP1,Racing Santander,630,24,CAPTURED,https://www.transfermarkt.de/racing-santander/kader/verein/630/saison_id/2026/plus/1
ESP1,Deportivo A Coruña,897,28,CAPTURED,https://www.transfermarkt.de/deportivo-a-coruna/kader/verein/897/saison_id/2026/plus/1
ESP1,FC Málaga,1084,28,CAPTURED,https://www.transfermarkt.de/fc-malaga/kader/verein/1084/saison_id/2026/plus/1
FRA1,Paris Saint-Germain,583,24,CAPTURED,https://www.transfermarkt.de/paris-saint-germain/kader/verein/583/saison_id/2026/plus/1
FRA1,RC Lens,826,29,CAPTURED,https://www.transfermarkt.de/rc-lens/kader/verein/826/saison_id/2026/plus/1
FRA1,LOSC Lille,1082,27,CAPTURED,https://www.transfermarkt.de/losc-lille/kader/verein/1082/saison_id/2026/plus/1
FRA1,Olympique Lyon,1041,29,CAPTURED,https://www.transfermarkt.de/olympique-lyon/kader/verein/1041/saison_id/2026/plus/1
FRA1,Olympique Marseille,244,22,CAPTURED,https://www.transfermarkt.de/olympique-marseille/kader/verein/244/saison_id/2026/plus/1
FRA1,FC Stade Rennes,273,26,CAPTURED,https://www.transfermarkt.de/fc-stade-rennes/kader/verein/273/saison_id/2026/plus/1
FRA1,AS Monaco,162,26,CAPTURED,https://www.transfermarkt.de/as-monaco/kader/verein/162/saison_id/2026/plus/1
FRA1,Racing Straßburg,667,29,CAPTURED,https://www.transfermarkt.de/racing-strassburg/kader/verein/667/saison_id/2026/plus/1
FRA1,FC Lorient,1158,25,CAPTURED,https://www.transfermarkt.de/fc-lorient/kader/verein/1158/saison_id/2026/plus/1
FRA1,FC Toulouse,415,24,CAPTURED,https://www.transfermarkt.de/fc-toulouse/kader/verein/415/saison_id/2026/plus/1
FRA1,Paris FC,10004,25,CAPTURED,https://www.transfermarkt.de/paris-fc/kader/verein/10004/saison_id/2026/plus/1
FRA1,Stade Brest 29,3911,23,CAPTURED,https://www.transfermarkt.de/stade-brest-29/kader/verein/3911/saison_id/2026/plus/1
FRA1,Angers SCO,1420,22,CAPTURED,https://www.transfermarkt.de/angers-sco/kader/verein/1420/saison_id/2026/plus/1
FRA1,Le Havre AC,738,26,CAPTURED,https://www.transfermarkt.de/le-havre-ac/kader/verein/738/saison_id/2026/plus/1
FRA1,AJ Auxerre,290,32,CAPTURED,https://www.transfermarkt.de/aj-auxerre/kader/verein/290/saison_id/2026/plus/1
FRA1,OGC Nizza,417,28,CAPTURED,https://www.transfermarkt.de/ogc-nizza/kader/verein/417/saison_id/2026/plus/1
FRA1,ESTAC Troyes,1095,28,CAPTURED,https://www.transfermarkt.de/estac-troyes/kader/verein/1095/saison_id/2026/plus/1
FRA1,FC Le Mans,1164,29,CAPTURED,https://www.transfermarkt.de/fc-le-mans/kader/verein/1164/saison_id/2026/plus/1
ITA1,Inter Mailand,46,24,CAPTURED,https://www.transfermarkt.de/inter-mailand/kader/verein/46/saison_id/2026/plus/1
ITA1,SSC Neapel,6195,27,CAPTURED,https://www.transfermarkt.de/ssc-neapel/kader/verein/6195/saison_id/2026/plus/1
ITA1,AS Rom,12,25,CAPTURED,https://www.transfermarkt.de/as-rom/kader/verein/12/saison_id/2026/plus/1
ITA1,Como 1907,1047,27,CAPTURED,https://www.transfermarkt.de/como-1907/kader/verein/1047/saison_id/2026/plus/1
ITA1,AC Mailand,5,28,CAPTURED,https://www.transfermarkt.de/ac-mailand/kader/verein/5/saison_id/2026/plus/1
ITA1,Juventus Turin,506,29,CAPTURED,https://www.transfermarkt.de/juventus-turin/kader/verein/506/saison_id/2026/plus/1
ITA1,Atalanta Bergamo,800,24,CAPTURED,https://www.transfermarkt.de/atalanta-bergamo/kader/verein/800/saison_id/2026/plus/1
ITA1,FC Bologna,1025,27,CAPTURED,https://www.transfermarkt.de/fc-bologna/kader/verein/1025/saison_id/2026/plus/1
ITA1,Lazio Rom,398,34,CAPTURED,https://www.transfermarkt.de/lazio-rom/kader/verein/398/saison_id/2026/plus/1
