league,club_name,external_club_id,native_club_id,membership_source_status,roster_observations,resolved_observations,review_rows,source_coverage,native_membership_coverage,native_league_status
GER1,TSG 1899 Hoffenheim,533,1376433,CONFIRMED,27,27,1,PASS,APPLIED_NATIVE08,MATCH
GER1,VfB Stuttgart,79,1376272,CONFIRMED,30,30,0,PASS,APPLIED_NATIVE08,MATCH
GER2,1.FC Heidenheim 1846,2036,1376302,CONFIRMED,26,26,1,PASS,APPLIED_NATIVE08,MATCH
GER2,1.FC Kaiserslautern,2,1376257,CONFIRMED,29,28,6,PASS,APPLIED_NATIVE08,MATCH
GER2,1.FC Magdeburg,187,1376373,CONFIRMED,30,30,9,PASS,APPLIED_NATIVE08,MATCH
GER2,1.FC Nürnberg,4,1376258,CONFIRMED,29,29,5,PASS,APPLIED_NATIVE08,MATCH
GER2,Arminia Bielefeld,10,1376260,CONFIRMED,26,25,3,PASS,APPLIED_NATIVE08,MATCH
GER2,Eintracht Braunschweig,23,1376426,CONFIRMED,27,27,1,PASS,APPLIED_NATIVE08,MATCH
GER2,FC Energie Cottbus,25,1376280,CONFIRMED,28,27,5,PASS,APPLIED_NATIVE08,MATCH
GER2,FC St. Pauli,35,1376425,CONFIRMED,28,27,9,PASS,APPLIED_NATIVE08,MATCH
GER2,Hannover 96,42,1376268,CONFIRMED,30,29,2,PASS,APPLIED_NATIVE08,MATCH
GER2,Hertha BSC,44,1376269,CONFIRMED,27,27,5,PASS,APPLIED_NATIVE08,MATCH
GER2,Holstein Kiel,269,1376418,CONFIRMED,31,31,2,PASS,APPLIED_NATIVE08,MATCH
GER2,Karlsruher SC,48,1376283,CONFIRMED,26,26,10,PASS,APPLIED_NATIVE08,MATCH
GER2,SG Dynamo Dresden,129,1376278,CONFIRMED,29,29,7,PASS,APPLIED_NATIVE08,MATCH
GER2,SV Darmstadt 98,105,1376442,CONFIRMED,32,32,7,PASS,APPLIED_NATIVE08,MATCH
GER2,SpVgg Greuther Fürth,65,1376288,CONFIRMED,28,28,2,PASS,APPLIED_NATIVE08,MATCH
GER2,VfL Bochum,80,1376273,CONFIRMED,28,28,1,PASS,APPLIED_NATIVE08,MATCH
GER2,VfL Osnabrück,81,1376420,CONFIRMED,26,26,4,PASS,APPLIED_NATIVE08,MATCH
GER2,VfL Wolfsburg,82,1376274,CONFIRMED,30,30,4,PASS,APPLIED_NATIVE08,MATCH
GER3,1.FC Saarbrücken,1,1376287,CONFIRMED,28,27,1,PASS,APPLIED_NATIVE08,DIFF
GER3,Alemannia Aachen,8,1376276,CONFIRMED,26,26,3,PASS,APPLIED_NATIVE08,DIFF
GER3,FC Hansa Rostock,30,1376265,CONFIRMED,31,31,3,PASS,APPLIED_NATIVE08,DIFF
GER3,FC Ingolstadt 04,4795,1376315,CONFIRMED,29,29,1,PASS,APPLIED_NATIVE08,DIFF
GER3,FC Viktoria Köln,1622,1376446,CONFIRMED,25,25,2,PASS,APPLIED_NATIVE08,DIFF
GER3,Fortuna Düsseldorf,38,1376429,CONFIRMED,30,30,4,PASS,APPLIED_NATIVE08,DIFF
GER3,MSV Duisburg,52,1376285,CONFIRMED,25,25,0,PASS,APPLIED_NATIVE08,DIFF
GER3,Preußen Münster,91,1376419,CONFIRMED,30,30,1,PASS,APPLIED_NATIVE08,DIFF
GER3,Rot-Weiss Essen,56,1376282,CONFIRMED,25,25,1,PASS,APPLIED_NATIVE08,DIFF
GER3,SC Fortuna Köln,92,1376444,CONFIRMED,29,28,3,PASS,PENDING_NATIVE_MEMBERSHIP,DIFF
GER3,SC Verl,93,1376406,CONFIRMED,26,25,2,PASS,APPLIED_NATIVE08,DIFF
GER3,SG Sonnenhof Großaspach,2589,1376306,CONFIRMED,27,27,2,PASS,PENDING_NATIVE_MEMBERSHIP,DIFF
GER3,SSV Jahn Regensburg,109,1376436,CONFIRMED,28,28,1,PASS,APPLIED_NATIVE08,DIFF
GER3,SV Meppen,247,1376347,CONFIRMED,26,26,1,PASS,PENDING_NATIVE_MEMBERSHIP,DIFF
GER3,SV Waldhof Mannheim,85,1376301,CONFIRMED,31,31,4,PASS,APPLIED_NATIVE08,DIFF
GER3,SV Wehen Wiesbaden,108,1376439,CONFIRMED,27,27,0,PASS,APPLIED_NATIVE08,DIFF
GER3,TSG 1899 Hoffenheim II,983,1376433,CONFIRMED,32,31,8,PASS,APPLIED_NATIVE08,DIFF
GER3,TSV Havelse,476,1376539,CONFIRMED,33,32,6,PASS,APPLIED_NATIVE08,DIFF
GER3,VfB Stuttgart II,102,1376272,CONFIRMED,30,30,5,PASS,APPLIED_NATIVE08,DIFF
GER3,Würzburger Kickers,1557,1376540,CONFIRMED,29,28,2,PASS,PENDING_NATIVE_MEMBERSHIP,DIFF
ITA1,AC Florenz,430,1769492,CONFIRMED,25,24,1,PASS,APPLIED_NATIVE08,MATCH
ITA1,AC Mailand,5,1769474,CONFIRMED,28,27,2,PASS,APPLIED_NATIVE08,MATCH
ITA1,AC Monza,2919,1769533,CONFIRMED,31,30,4,PASS,APPLIED_NATIVE08,MATCH
ITA1,AS Rom,12,1769476,CONFIRMED,25,24,2,PASS,APPLIED_NATIVE08,MATCH
ITA1,Atalanta Bergamo,800,1769477,CONFIRMED,24,24,1,PASS,APPLIED_NATIVE08,MATCH
ITA1,Cagliari Calcio,1390,1769480,CONFIRMED,30,30,3,PASS,APPLIED_NATIVE08,MATCH
ITA1,Como 1907,1047,1769516,CONFIRMED,27,27,1,PASS,APPLIED_NATIVE08,MATCH
ITA1,FC Bologna,1025,1769478,CONFIRMED,27,27,2,PASS,APPLIED_NATIVE08,MATCH
ITA1,FC Turin,416,1769499,CONFIRMED,29,29,0,PASS,APPLIED_NATIVE08,MATCH
ITA1,Frosinone Calcio,8970,1769528,CONFIRMED,30,30,4,PASS,APPLIED_NATIVE08,MATCH
ITA1,Genua CFC,252,1769510,CONFIRMED,31,30,4,PASS,APPLIED_NATIVE08,MATCH
ITA1,Inter Mailand,46,1769481,CONFIRMED,24,23,1,PASS,APPLIED_NATIVE08,MATCH
ITA1,Juventus Turin,506,1769482,CONFIRMED,29,28,2,PASS,APPLIED_NATIVE08,MATCH
ITA1,Lazio Rom,398,1769487,CONFIRMED,34,34,1,PASS,APPLIED_NATIVE08,MATCH
ITA1,Parma Calcio 1913,130,1769475,CONFIRMED,28,28,2,PASS,APPLIED_NATIVE08,MATCH
ITA1,SSC Neapel,6195,1769517,CONFIRMED,27,26,2,PASS,APPLIED_NATIVE08,MATCH
ITA1,US Lecce,1005,1769483,CONFIRMED,34,33,4,PASS,APPLIED_NATIVE08,MATCH
ITA1,US Sassuolo,6574,1769542,CONFIRMED,34,33,4,PASS,APPLIED_NATIVE08,MATCH
ITA1,Udinese Calcio,410,1769488,CONFIRMED,27,27,1,PASS,APPLIED_NATIVE08,MATCH
ITA1,Venezia FC,607,1769500,CONFIRMED,36,35,6,PASS,APPLIED_NATIVE08,MATCH
NED1,ADO Den Haag,1268,2228225,CONFIRMED,28,28,3,PASS,APPLIED_NATIVE08,MATCH
NED1,AZ Alkmaar,1090,2228226,CONFIRMED,29,29,0,PASS,APPLIED_NATIVE08,MATCH
NED1,Ajax Amsterdam,610,2228227,CONFIRMED,27,27,1,PASS,APPLIED_NATIVE08,MATCH
NED1,Excelsior Rotterdam,798,2228244,CONFIRMED,25,25,0,PASS,APPLIED_NATIVE08,MATCH
NED1,FC Groningen,202,2228233,CONFIRMED,28,28,1,PASS,APPLIED_NATIVE08,MATCH
NED1,FC Twente Enschede,317,2228240,CONFIRMED,27,26,1,PASS,APPLIED_NATIVE08,MATCH
NED1,FC Utrecht,200,2228241,CONFIRMED,31,31,4,PASS,APPLIED_NATIVE08,MATCH
NED1,Feyenoord Rotterdam,234,2228232,CONFIRMED,31,31,0,PASS,APPLIED_NATIVE08,MATCH
NED1,Fortuna Sittard,385,2228247,CONFIRMED,23,22,4,PASS,APPLIED_NATIVE08,MATCH
NED1,Go Ahead Eagles Deventer,1435,2228248,CONFIRMED,29,29,1,PASS,APPLIED_NATIVE08,MATCH
NED1,NEC Nijmegen,467,2228235,CONFIRMED,30,29,2,PASS,APPLIED_NATIVE08,MATCH
NED1,PEC Zwolle,1269,2228260,CONFIRMED,26,25,2,PASS,APPLIED_NATIVE08,MATCH
NED1,PSV Eindhoven,383,2228236,CONFIRMED,31,31,0,PASS,APPLIED_NATIVE08,MATCH
NED1,SC Cambuur Leeuwarden,133,2228253,CONFIRMED,28,28,2,PASS,APPLIED_NATIVE08,MATCH
NED1,SC Heerenveen,306,2228234,CONFIRMED,25,24,3,PASS,APPLIED_NATIVE08,MATCH
NED1,SC Telstar,1434,2228252,CONFIRMED,27,26,6,PASS,APPLIED_NATIVE08,MATCH
NED1,Sparta Rotterdam,468,2228256,CONFIRMED,25,25,0,PASS,APPLIED_NATIVE08,MATCH
NED1,Willem II Tilburg,403,2228239,CONFIRMED,29,29,2,PASS,APPLIED_NATIVE08,MATCH
POR1,Académico Viseu FC,7788,2494468,CONFIRMED,30,30,5,PASS,APPLIED_NATIVE08,MATCH
POR1,Benfica Lissabon,294,2490372,CONFIRMED,27,27,3,PASS,APPLIED_NATIVE08,MATCH
POR1,CD Nacional,982,2490378,CONFIRMED,33,28,9,PASS,APPLIED_NATIVE08,MATCH
POR1,CD Santa Clara,2423,2490388,CONFIRMED,27,27,7,PASS,APPLIED_NATIVE08,MATCH
POR1,CF Estrela Amadora,2431,2490394,CONFIRMED,30,30,7,PASS,APPLIED_NATIVE08,MATCH
POR1,CS Marítimo,1301,2490376,CONFIRMED,31,29,5,PASS,APPLIED_NATIVE08,MATCH
POR1,Casa Pia AC,3268,2494469,CONFIRMED,29,27,5,PASS,APPLIED_NATIVE08,MATCH
POR1,FC Alverca,2521,2490393,CONFIRMED,34,33,6,PASS,APPLIED_NATIVE08,MATCH
POR1,FC Arouca,8024,2494470,CONFIRMED,27,27,3,PASS,APPLIED_NATIVE08,MATCH
POR1,FC Famalicão,3329,2490398,CONFIRMED,26,25,3,PASS,APPLIED_NATIVE08,MATCH
POR1,FC Porto,720,2490380,CONFIRMED,28,28,1,PASS,APPLIED_NATIVE08,MATCH
POR1,GD Estoril Praia,1465,2490386,CONFIRMED,29,28,4,PASS,APPLIED_NATIVE08,MATCH
POR1,Gil Vicente FC,2424,2490375,CONFIRMED,30,27,6,PASS,APPLIED_NATIVE08,MATCH
POR1,Moreirense FC,979,2490377,CONFIRMED,30,27,7,PASS,APPLIED_NATIVE08,MATCH
POR1,Rio Ave FC,2425,2490381,CONFIRMED,36,36,2,PASS,APPLIED_NATIVE08,MATCH
POR1,SC Braga,1075,2490374,CONFIRMED,27,26,3,PASS,APPLIED_NATIVE08,MATCH
POR1,Sporting Lissabon,336,2490382,CONFIRMED,29,28,2,PASS,APPLIED_NATIVE08,MATCH
POR1,Vitória Guimarães SC,2420,2490397,CONFIRMED,30,27,3,PASS,APPLIED_NATIVE08,MATCH
TUR1,Alanyaspor,11282,3145783,CONFIRMED,27,27,3,PASS,APPLIED_NATIVE08,MATCH
TUR1,Amed SK,12382,3145856,CONFIRMED,28,27,2,PASS,APPLIED_NATIVE08,MATCH
TUR1,Basaksehir FK,6890,3145841,CONFIRMED,32,31,2,PASS,APPLIED_NATIVE08,MATCH
TUR1,Besiktas JK,114,3145824,CONFIRMED,31,30,2,PASS,APPLIED_NATIVE08,MATCH
TUR1,Caykur Rizespor,126,3145837,CONFIRMED,29,27,2,PASS,APPLIED_NATIVE08,MATCH
TUR1,Corum FK,37951,3149867,CONFIRMED,29,27,5,PASS,APPLIED_NATIVE08,MATCH
TUR1,Erzurumspor FK,39722,3145765,CONFIRMED,28,27,5,PASS,APPLIED_NATIVE08,MATCH
TUR1,Eyüpspor,7160,3145777,CONFIRMED,28,28,12,PASS,APPLIED_NATIVE08,MATCH
TUR1,Fenerbahce,36,3145823,CONFIRMED,28,28,1,PASS,APPLIED_NATIVE08,MATCH
TUR1,Galatasaray,141,3145825,CONFIRMED,32,30,3,PASS,APPLIED_NATIVE08,MATCH
TUR1,Gaziantep FK,2832,3145773,CONFIRMED,33,30,8,PASS,APPLIED_NATIVE08,MATCH
TUR1,Genclerbirligi Ankara,820,3145836,CONFIRMED,30,25,7,PASS,APPLIED_NATIVE08,MATCH
TUR1,Göztepe,1467,3145820,CONFIRMED,26,25,3,PASS,APPLIED_NATIVE08,MATCH
TUR1,Kasimpasa,10484,3145843,CONFIRMED,32,31,4,PASS,APPLIED_NATIVE08,MATCH
TUR1,Kocaelispor,120,3145754,CONFIRMED,29,28,5,PASS,APPLIED_NATIVE08,MATCH
TUR1,Konyaspor,2293,3145839,CONFIRMED,28,27,3,PASS,APPLIED_NATIVE08,MATCH
TUR1,Samsunspor,152,3145745,CONFIRMED,29,27,4,PASS,APPLIED_NATIVE08,MATCH
TUR1,Trabzonspor,449,3145826,CONFIRMED,30,29,2,PASS,APPLIED_NATIVE08,MATCH
